Date,Close
1/3/2017,22.24
1/4/2017,22.65
1/5/2017,22.49
1/6/2017,22.65
1/9/2017,22.9
1/10/2017,22.92
1/11/2017,22.91
1/12/2017,22.9
1/13/2017,23.21
1/17/2017,22.92
1/18/2017,22.99
1/19/2017,23.14
1/20/2017,23.22
1/23/2017,23.08
1/24/2017,23.39
1/25/2017,23.69
1/26/2017,23.57
1/27/2017,23.56
1/30/2017,23.34
1/31/2017,23.37
2/1/2017,23.41
2/2/2017,23.51
2/3/2017,23.71
2/6/2017,23.69
2/7/2017,23.72
2/8/2017,23.85
2/9/2017,24.34
2/10/2017,24.41
2/13/2017,24.59
2/14/2017,24.58
2/15/2017,24.6
2/16/2017,24.33
2/17/2017,24.42
2/21/2017,24.59
2/22/2017,24.59
2/23/2017,24.09
2/24/2017,24
2/27/2017,24.1
2/28/2017,23.81
3/1/2017,24.21
3/2/2017,23.99
3/3/2017,23.75
3/6/2017,23.63
3/7/2017,23.59
3/8/2017,23.67
3/9/2017,23.38
3/10/2017,23.45
3/13/2017,23.76
3/14/2017,23.75
3/15/2017,24.1
3/16/2017,24.22
3/17/2017,24.44
3/20/2017,24.42
3/21/2017,23.76
3/22/2017,23.76
3/23/2017,23.94
3/24/2017,24.01
3/27/2017,24.13
3/28/2017,24.29
3/29/2017,24.47
3/30/2017,24.59
3/31/2017,24.67
4/3/2017,24.74
4/4/2017,24.58
4/5/2017,24.4
4/6/2017,24.59
4/7/2017,24.66
4/10/2017,24.75
4/11/2017,24.74
4/12/2017,24.52
4/13/2017,24.41
4/17/2017,24.57
4/18/2017,24.92
4/19/2017,25.1
4/20/2017,25.48
4/21/2017,25.31
4/24/2017,25.64
4/25/2017,26.04
4/26/2017,26.24
4/27/2017,26.48
4/28/2017,26.5
5/1/2017,26.84
5/2/2017,26.73
5/3/2017,26.65
5/4/2017,26.51
5/5/2017,26.85
5/8/2017,26.92
5/9/2017,27.28
5/10/2017,27.94
5/11/2017,28.32
5/12/2017,28.42
5/15/2017,28.43
5/16/2017,28.72
5/17/2017,27.61
5/18/2017,27.97
5/19/2017,28.27
5/22/2017,28.64
5/23/2017,28.39
5/24/2017,28.47
5/25/2017,28.73
5/26/2017,28.76
5/30/2017,28.71
5/31/2017,28.7
6/1/2017,29.07
6/2/2017,29.31
6/5/2017,29.34
6/6/2017,29.28
6/7/2017,29.32
6/8/2017,29.75
6/9/2017,28.77
6/12/2017,28.5
6/13/2017,28.86
6/14/2017,28.74
6/15/2017,28.63
6/16/2017,28.56
6/19/2017,29.09
6/20/2017,28.84
6/21/2017,29.02
6/22/2017,29.21
6/23/2017,29.27
6/26/2017,28.78
6/27/2017,28.33
6/28/2017,28.71
6/29/2017,28.18
6/30/2017,28.12
7/3/2017,27.91
7/5/2017,28.02
7/6/2017,27.63
