Date,Close
5/2/2019,65.75
5/3/2019,66.79
5/6/2019,74.79
5/7/2019,79.17
5/8/2019,72.25
5/9/2019,68.27
5/10/2019,66.22
5/13/2019,69.50
5/14/2019,79.68
5/15/2019,86.92
5/16/2019,92.92
5/17/2019,89.35
5/20/2019,86.09
5/21/2019,77.50
5/22/2019,77.63
5/23/2019,82.10
5/24/2019,79.67
5/28/2019,86.00
5/29/2019,97.50
5/30/2019,98.59
5/31/2019,104.12
6/3/2019,96.16
6/4/2019,103.41
6/5/2019,102.60
6/6/2019,99.50
6/7/2019,138.65
6/10/2019,168.10
6/11/2019,126.04
6/12/2019,141.97
6/13/2019,141.39
6/14/2019,151.48
6/17/2019,169.96
6/18/2019,169.89
6/19/2019,169.28
6/20/2019,165.17
6/21/2019,154.13
6/24/2019,140.99
6/25/2019,150.60
6/26/2019,160.48
6/27/2019,162.91
6/28/2019,160.68
7/1/2019,152.58
7/2/2019,149.71
7/3/2019,151.50
7/5/2019,152.63
7/8/2019,156.67
7/9/2019,157.82
7/10/2019,163.51
7/11/2019,174.20
7/12/2019,166.81
7/15/2019,166.53
7/16/2019,172.59
7/17/2019,169.64
7/18/2019,170.34
7/19/2019,176.79
7/22/2019,194.20
7/23/2019,195.48
7/24/2019,202.92
7/25/2019,222.86
7/26/2019,234.90
7/29/2019,222.13
7/30/2019,194.76
7/31/2019,196.51
8/1/2019,176.04
8/2/2019,177.11
8/5/2019,175.94
8/6/2019,161.24
8/7/2019,167.00
8/8/2019,162.70
8/9/2019,164.37
8/12/2019,169.11
8/13/2019,167.29
8/14/2019,162.90
8/15/2019,144.20
8/16/2019,144.77
8/19/2019,144.51
8/20/2019,153.97
8/21/2019,151.95
8/22/2019,150.99
8/23/2019,146.85
8/26/2019,155.13
8/27/2019,157.02
8/28/2019,160.31
8/29/2019,165.48
8/30/2019,167.63
9/3/2019,163.15
9/4/2019,163.68
9/5/2019,160.97
9/6/2019,154.99
9/9/2019,149.53
9/10/2019,146.90
9/11/2019,151.81
9/12/2019,152.96
9/13/2019,155.98
9/16/2019,158.97
9/17/2019,160.31
9/18/2019,153.99
9/19/2019,154.92
9/20/2019,155.26
9/23/2019,148.22
9/24/2019,142.99
9/25/2019,138.32
9/26/2019,154.34
9/27/2019,151.66
9/30/2019,148.62
10/1/2019,146.42
10/2/2019,143.30
10/3/2019,145.44
10/4/2019,145.72
10/7/2019,145.06
10/8/2019,142.73
10/9/2019,139.35
10/10/2019,136.00
10/11/2019,131.39
10/14/2019,126.31
10/15/2019,122.05
10/16/2019,123.92
10/17/2019,117.35
10/18/2019,109.99
10/21/2019,110.13
10/22/2019,106.40
10/23/2019,97.90
10/24/2019,101.70
10/25/2019,100.81
10/28/2019,105.41
10/29/2019,81.99
10/30/2019,88.89
10/31/2019,84.45
11/1/2019,82.00
11/4/2019,79.79
11/5/2019,81.45
11/6/2019,80.73
11/7/2019,78.99
11/8/2019,79.95
11/11/2019,76.79
11/12/2019,78.27
11/13/2019,79.02
11/14/2019,80.43
11/15/2019,80.81
11/18/2019,79.72
11/19/2019,77.35
11/20/2019,78.12
11/21/2019,78.62
11/22/2019,77.34
11/25/2019,77.28
11/26/2019,79.43
11/27/2019,81.66
11/29/2019,82.96
