Date,Close
1/3/2017,24.79
1/4/2017,25.31
1/5/2017,25.59
1/6/2017,25.45
1/9/2017,25.54
1/10/2017,25.53
1/11/2017,26.06
1/12/2017,26.22
1/13/2017,26.48
1/17/2017,26.19
1/18/2017,26.11
1/19/2017,26.2
1/20/2017,26.49
1/23/2017,26.61
1/24/2017,26.95
1/25/2017,27.25
1/26/2017,27.19
1/27/2017,27.02
1/30/2017,26.65
1/31/2017,26.55
2/1/2017,26.74
2/2/2017,26.96
2/3/2017,26.92
2/6/2017,27
2/7/2017,26.25
2/8/2017,26.45
2/9/2017,26.56
2/10/2017,26.76
2/13/2017,26.97
2/14/2017,27
2/15/2017,26.92
2/16/2017,26.6
2/17/2017,26.44
2/21/2017,26.65
2/22/2017,26.54
2/23/2017,26.34
2/24/2017,26.14
2/27/2017,26
2/28/2017,25.98
3/1/2017,26.4
3/2/2017,26.42
3/3/2017,26.39
3/6/2017,26.26
3/7/2017,26.07
3/8/2017,25.91
3/9/2017,26.04
3/10/2017,26.07
3/13/2017,26.39
3/14/2017,26.32
3/15/2017,26.79
3/16/2017,26.78
3/17/2017,27
3/20/2017,27.22
3/21/2017,26.78
3/22/2017,27.01
3/23/2017,26.95
3/24/2017,27.11
3/27/2017,27.05
3/28/2017,27.27
3/29/2017,27.35
3/30/2017,27.31
3/31/2017,28.11
4/3/2017,28.2
4/4/2017,28.16
4/5/2017,28.27
4/6/2017,28.79
4/7/2017,28.87
4/10/2017,28.93
4/11/2017,28.86
4/12/2017,28.29
4/13/2017,28.28
4/17/2017,28.39
4/18/2017,28.23
4/19/2017,28.07
4/20/2017,28.39
4/21/2017,28.36
4/24/2017,28.75
4/25/2017,28.87
4/26/2017,28.76
4/27/2017,28.63
4/28/2017,28.69
5/1/2017,28.75
5/2/2017,28.79
5/3/2017,28.43
5/4/2017,28.01
5/5/2017,28.6
5/8/2017,28.55
5/9/2017,28.77
5/10/2017,28.91
5/11/2017,28.99
5/12/2017,28.99
5/15/2017,29.29
5/16/2017,29.43
5/17/2017,28.64
5/18/2017,28.57
5/19/2017,29.26
5/22/2017,29.31
5/23/2017,29.25
5/24/2017,29.53
5/25/2017,29.8
5/26/2017,30.01
5/30/2017,29.98
5/31/2017,29.81
6/1/2017,29.88
6/2/2017,30.02
6/5/2017,29.92
6/6/2017,29.91
6/7/2017,29.89
6/8/2017,29.99
6/9/2017,29.89
6/12/2017,29.6
6/13/2017,30.08
6/14/2017,29.82
6/15/2017,29.3
6/16/2017,29.41
6/19/2017,29.45
6/20/2017,29.24
6/21/2017,29.14
6/22/2017,29.06
6/23/2017,29.21
6/26/2017,29.34
6/27/2017,29.21
6/28/2017,29.46
6/29/2017,28.93
6/30/2017,29.02
7/3/2017,29.1
7/5/2017,29.19
7/6/2017,29.02
7/7/2017,29.42
7/10/2017,29.66
7/11/2017,29.65
7/12/2017,30.09
7/13/2017,30.35
7/14/2017,30.54
7/17/2017,30.56
7/18/2017,30.61
7/19/2017,30.54
7/20/2017,30.6
7/21/2017,30.68
7/24/2017,30.91
7/25/2017,31.06
7/26/2017,30.91
7/27/2017,30.74
7/28/2017,30.84
7/31/2017,30.93
8/1/2017,31.02
8/2/2017,31.87
8/3/2017,31.92
8/4/2017,32.44
8/7/2017,32.61
8/8/2017,32.46
8/9/2017,32.16
8/10/2017,31.39
8/11/2017,31.39
8/14/2017,31.87
8/15/2017,32.03
8/16/2017,32.28
8/17/2017,31.84
8/18/2017,32.01
8/21/2017,32.12
8/22/2017,32.53
8/23/2017,32.63
8/24/2017,32.9
8/25/2017,33.21
8/28/2017,33.1
8/29/2017,33.01
8/30/2017,33.12
8/31/2017,33.72
9/1/2017,34.18
9/5/2017,33.63
9/6/2017,34.02
9/7/2017,34.57
9/8/2017,34.33
9/11/2017,35.96
9/12/2017,36.43
9/13/2017,37.01
9/14/2017,37.32
9/15/2017,37.85
9/18/2017,38.67
9/19/2017,39.28
9/20/2017,38.42
9/21/2017,37.95
9/22/2017,37.09
9/25/2017,36
9/26/2017,36.24
9/27/2017,36.93
9/28/2017,36.96
9/29/2017,37.41
10/2/2017,37.68
10/3/2017,38.27
10/4/2017,39.14
10/5/2017,39.62
10/6/2017,39.03
10/9/2017,38.88
10/10/2017,39.15
10/11/2017,39.05
10/12/2017,39.05
10/13/2017,39.66
10/16/2017,39.92
10/17/2017,39.47
10/18/2017,39.61
10/19/2017,39.48
10/20/2017,39.44
10/23/2017,39.49
10/24/2017,39.59
10/25/2017,39.01
10/26/2017,38.94
10/27/2017,38.98
10/30/2017,38.96
10/31/2017,39.21
11/1/2017,39.86
11/2/2017,39.07
11/3/2017,39.15
11/6/2017,39.53
11/7/2017,40.01
11/8/2017,40.69
11/9/2017,40.31
11/10/2017,40.31
11/13/2017,40.45
11/14/2017,39.81
11/15/2017,38.89
11/16/2017,39.57
11/17/2017,39.63
11/20/2017,39.45
11/21/2017,40.13
11/22/2017,40.21
11/24/2017,40.45
11/27/2017,40.06
11/28/2017,40.22
11/29/2017,39.62
11/30/2017,39.89
12/1/2017,39.55
12/4/2017,38.98
12/5/2017,38.1
12/6/2017,37.32
12/7/2017,37.55
12/8/2017,37.9
12/11/2017,38.28
12/12/2017,38.31
12/13/2017,38.85
12/14/2017,38.62
12/15/2017,38.75
12/18/2017,39.76
12/19/2017,39.91
12/20/2017,40.06
12/21/2017,39.71
12/22/2017,39.87
12/26/2017,39.63
12/27/2017,39.82
12/28/2017,38.83
12/29/2017,38.76
1/2/2018,39.67
1/3/2018,39.88
1/4/2018,39.84
1/5/2018,40.5
1/8/2018,41.08
1/9/2018,40.86
1/10/2018,40.31
1/11/2018,40.45
1/12/2018,40.67
1/16/2018,39.83
1/17/2018,39.96
1/18/2018,38.46
1/19/2018,38.16
1/22/2018,38.02
1/23/2018,38.28
1/24/2018,38.34
1/25/2018,38.65
1/26/2018,38.58
1/29/2018,38.27
1/30/2018,37.67
1/31/2018,37.54
2/1/2018,36.89
2/2/2018,35.45
2/5/2018,34.17
2/6/2018,34.97
2/7/2018,35.15
2/8/2018,34.1
2/9/2018,34.5
2/12/2018,35.52
2/13/2018,35.37
2/14/2018,36.2
2/15/2018,36.76
2/16/2018,36.26
2/20/2018,36.12
2/21/2018,35.97
2/22/2018,36.43
2/23/2018,37.23
2/26/2018,35.96
2/27/2018,35.62
2/28/2018,34.22
3/1/2018,33.54
3/2/2018,33.62
3/5/2018,33.61
3/6/2018,34.41
3/7/2018,34.37
3/8/2018,34.64
3/9/2018,35.5
3/12/2018,35.76
3/13/2018,35.67
3/14/2018,35.71
3/15/2018,35.59
3/16/2018,35.49
3/19/2018,34.69
3/20/2018,34.56
3/21/2018,34.81
3/22/2018,33.9
3/23/2018,33.21
3/26/2018,33.71
3/27/2018,33.28
3/28/2018,32.54
3/29/2018,32.98
4/2/2018,32.18
4/3/2018,32.42
4/4/2018,32.54
4/5/2018,33.17
4/6/2018,32.7
4/9/2018,32.59
4/10/2018,33.11
4/11/2018,33.03
4/12/2018,33.28
4/13/2018,33.41
4/16/2018,33.38
4/17/2018,33.42
4/18/2018,33.86
4/19/2018,33.94
4/20/2018,33.73
4/23/2018,33.47
4/24/2018,33.07
4/25/2018,32.74
4/26/2018,33
4/27/2018,33.17
4/30/2018,33.05
5/1/2018,33.1
5/2/2018,32.99
5/3/2018,33.17
5/4/2018,33.59
5/7/2018,33.76
5/8/2018,33.68
5/9/2018,33.77
5/10/2018,33.96
5/11/2018,34.07
5/14/2018,34.14
5/15/2018,33.94
5/16/2018,34.28
5/17/2018,34.8
5/18/2018,34.45
5/21/2018,34.81
5/22/2018,34.3
5/23/2018,34.18
5/24/2018,33.27
5/25/2018,33.4
5/29/2018,33.05
5/30/2018,33.33
5/31/2018,33.24
6/1/2018,33.61
6/4/2018,33.96
6/5/2018,33.9
6/6/2018,34.46
6/7/2018,34.25
6/8/2018,34.25
6/11/2018,34.37
6/12/2018,34.39
6/13/2018,34.02
6/14/2018,34.09
6/15/2018,33.87
6/18/2018,33.45
6/19/2018,32.57
6/20/2018,32.8
6/21/2018,32.63
6/22/2018,33.03
6/25/2018,32.59
6/26/2018,32.62
6/27/2018,32.41
6/28/2018,32.44
6/29/2018,32.52
7/2/2018,32.36
7/3/2018,32.43
7/5/2018,32.39
7/6/2018,32.74
7/9/2018,33.11
7/10/2018,33.31
7/11/2018,32.76
7/12/2018,33.09
7/13/2018,33.17
7/16/2018,32.6
7/17/2018,32.91
7/18/2018,32.77
7/19/2018,32.6
7/20/2018,32.48
7/23/2018,31.88
7/24/2018,32.02
7/25/2018,32.37
7/26/2018,32.54
7/27/2018,32.53
7/30/2018,32.26
7/31/2018,32.53
8/1/2018,32.19
8/2/2018,32.19
8/3/2018,32.6
8/6/2018,32.33
8/7/2018,32.43
8/8/2018,32.91
8/9/2018,32.91
8/10/2018,32.23
8/13/2018,31.61
8/14/2018,31.84
8/15/2018,31.21
8/16/2018,31.51
8/17/2018,31.6
8/20/2018,31.61
8/21/2018,31.93
8/22/2018,31.91
8/23/2018,31.52
8/24/2018,31.91
8/27/2018,32.5
8/28/2018,32.43
8/29/2018,32.57
8/30/2018,32.05
8/31/2018,32.1
9/4/2018,31.67
9/5/2018,31.25
9/6/2018,31.08
9/7/2018,30.98
9/10/2018,31.02
9/11/2018,31.18
9/12/2018,31.45
9/13/2018,31.7
9/14/2018,32
9/17/2018,32.13
9/18/2018,32.41
9/19/2018,32.94
9/20/2018,33.32
9/21/2018,33.68
9/24/2018,33.69
9/25/2018,33.48
9/26/2018,33.32
9/27/2018,33.36
9/28/2018,32.95
10/1/2018,33.2
10/2/2018,33.2
10/3/2018,33.25
10/4/2018,32.87
10/5/2018,32.3
10/8/2018,32.18
10/9/2018,31.51
10/10/2018,30.36
10/11/2018,29.72
10/12/2018,30.38
10/15/2018,30.53
10/16/2018,31.04
10/17/2018,30.67
10/18/2018,30.05
10/19/2018,30.12
10/22/2018,30.29
10/23/2018,29.92
10/24/2018,28.91
10/25/2018,29.71
10/26/2018,29.35
10/29/2018,29.16
10/30/2018,29.77
10/31/2018,30.28
11/1/2018,31.48
11/2/2018,31.88
11/5/2018,31.83
11/6/2018,32.11
11/7/2018,32.44
11/8/2018,32.07
11/9/2018,31.72
11/12/2018,30.95
11/13/2018,31.04
11/14/2018,31.19
11/15/2018,31.74
11/16/2018,31.68
11/19/2018,31.46
11/20/2018,30.41
11/21/2018,30.57
11/23/2018,30.3
11/26/2018,30.74
11/27/2018,30.71
11/28/2018,31.48
11/29/2018,31.36
11/30/2018,31.39
12/3/2018,32.22
12/4/2018,31.2
12/6/2018,30.79
12/7/2018,30.05
12/10/2018,29.92
12/11/2018,29.83
12/12/2018,30.19
12/13/2018,30.13
12/14/2018,29.54
12/17/2018,28.74
12/18/2018,28.63
12/19/2018,28.12
12/20/2018,27.24
12/21/2018,26.93
12/24/2018,26.49
12/26/2018,27.49
12/27/2018,27.45
12/28/2018,26.91
12/31/2018,26.98
1/2/2019,27.08
1/3/2019,26.26
1/4/2019,27.26
1/7/2019,27.75
1/8/2019,28.1
1/9/2019,28.26
1/10/2019,28.42
1/11/2019,28.29
1/14/2019,28.1
1/15/2019,28
1/16/2019,28.16
1/17/2019,28.18
1/18/2019,28.29
1/22/2019,27.8
1/23/2019,27.69
1/24/2019,27.69
1/25/2019,28.2
1/28/2019,28.07
1/29/2019,28.14
1/30/2019,28.44
1/31/2019,28.46
2/1/2019,28.85
2/4/2019,28.95
2/5/2019,29.09
2/6/2019,29.08
2/7/2019,28.58
2/8/2019,28.34
2/11/2019,28.29
2/12/2019,28.25
2/13/2019,28.38
2/14/2019,28.39
2/15/2019,28.66
2/19/2019,28.93
2/20/2019,29.16
2/21/2019,29.62
2/22/2019,29.78
2/25/2019,30.42
2/26/2019,30.24
2/27/2019,30.32
2/28/2019,29.93
3/1/2019,29.72
3/4/2019,29.4
3/5/2019,29.3
3/6/2019,29.13
3/7/2019,28.54
3/8/2019,28.29
3/11/2019,28.68
3/12/2019,28.5
3/13/2019,28.66
3/14/2019,28.48
3/15/2019,28.62
3/18/2019,28.62
3/19/2019,28.58
3/20/2019,28.29
3/21/2019,28.77
3/22/2019,27.98
3/25/2019,27.78
3/26/2019,27.89
3/27/2019,27.72
3/28/2019,28
3/29/2019,28.3
4/1/2019,28.89
4/2/2019,28.9
4/3/2019,29.13
4/4/2019,29.18
4/5/2019,29.34
4/8/2019,29.46
4/9/2019,29.17
4/10/2019,29.42
4/11/2019,29.1
4/12/2019,29.15
4/15/2019,28.97
4/16/2019,29.16
4/17/2019,29.4
4/18/2019,29.06
4/22/2019,28.85
4/23/2019,28.59
4/24/2019,28.03
4/25/2019,27.72
4/26/2019,27.8
4/29/2019,27.77
4/30/2019,27.61
5/1/2019,27.25
5/2/2019,27.8
5/3/2019,28.29
5/6/2019,27.89
5/7/2019,27.73
5/8/2019,27.37
5/9/2019,27.09
5/10/2019,27.18
5/13/2019,26.08
5/14/2019,26.19
5/15/2019,26.36
5/16/2019,26.23
5/17/2019,25.64
5/20/2019,25.35
5/21/2019,25.63
5/22/2019,25.55
5/23/2019,24.97
5/24/2019,24.9
5/28/2019,24.79
5/29/2019,24.6
5/30/2019,24.72
5/31/2019,24.62
6/3/2019,24.69
6/4/2019,25.37
6/5/2019,25.15
6/6/2019,25.23
6/7/2019,25.69
6/10/2019,25.97
6/11/2019,26.34
6/12/2019,25.82
6/13/2019,26.13
6/14/2019,25.82
6/17/2019,25.92
6/18/2019,25.92
6/19/2019,25.82
6/20/2019,26.12
6/21/2019,26.11
6/24/2019,25.98
6/25/2019,25.91
6/26/2019,25.97
6/27/2019,25.95
6/28/2019,26.09
7/1/2019,26.2
7/2/2019,26.08
7/3/2019,26.23
7/5/2019,26.08
7/8/2019,25.72
7/9/2019,25.54
7/10/2019,25.73
7/11/2019,25.71
7/12/2019,26.07
7/15/2019,26.23
7/16/2019,26.22
7/17/2019,26.11
7/18/2019,26.14
7/19/2019,26.42
7/22/2019,26.41
7/23/2019,26.63
7/24/2019,26.8
7/25/2019,25.99
7/26/2019,26.06
7/29/2019,25.89
7/30/2019,25.94
7/31/2019,25.87
8/1/2019,25.22
8/2/2019,24.91
8/5/2019,23.89
8/6/2019,23.92
8/7/2019,24.29
8/8/2019,25.16
8/9/2019,24.87
8/12/2019,24.32
8/13/2019,24.43
8/14/2019,23.69
8/15/2019,23.4
8/16/2019,23.66
8/19/2019,23.92
8/20/2019,23.92
8/21/2019,24.01
8/22/2019,23.33
8/23/2019,22.72
8/26/2019,22.77
8/27/2019,22.61
8/28/2019,22.78
8/29/2019,23.06
8/30/2019,23.37
9/3/2019,23.1
9/4/2019,23.31
9/5/2019,23.75
9/6/2019,23.91
9/9/2019,24.24
9/10/2019,24.45
9/11/2019,24.92
9/12/2019,25.05
9/13/2019,25.22
9/16/2019,25.01
9/17/2019,24.96
9/18/2019,24.88
9/19/2019,24.92
9/20/2019,25.04
9/23/2019,24.93
9/24/2019,24.49
9/25/2019,24.31
9/26/2019,24.3
9/27/2019,24.27
9/30/2019,24.37
10/1/2019,24.28
10/2/2019,23.88
10/3/2019,23.89
10/4/2019,23.91
10/7/2019,23.85
10/8/2019,23.53
10/9/2019,23.56
10/10/2019,23.84
10/11/2019,24.48
10/14/2019,24.23
10/15/2019,24.36
10/16/2019,24.34
10/17/2019,24.49
10/18/2019,24.3
10/21/2019,24.37
10/22/2019,24.38
10/23/2019,24.45
10/24/2019,24.92
10/25/2019,24.77
10/28/2019,25.13
10/29/2019,25.07
10/30/2019,25.1
10/31/2019,24.9
11/1/2019,25.75
11/4/2019,26.45
11/5/2019,26.34
11/6/2019,26.18
11/7/2019,26.18
11/8/2019,26.42
11/11/2019,26.34
11/12/2019,25.73
11/13/2019,25.45
11/14/2019,25.37
11/15/2019,25.75
11/18/2019,25.65
11/19/2019,25.54
11/20/2019,25.17
11/21/2019,25.15
11/22/2019,25.06
11/25/2019,25.39
11/26/2019,25.47
11/27/2019,25.54
11/29/2019,25.42
