Date,Close
3/29/2019,78.29
4/1/2019,69.01
4/2/2019,68.97
4/3/2019,70
4/4/2019,72
4/5/2019,74.45
4/8/2019,70.23
4/9/2019,67.44
4/10/2019,60.12
4/11/2019,61.01
4/12/2019,59.9
4/15/2019,56.11
4/16/2019,56.25
4/17/2019,59.51
4/18/2019,58.36
4/22/2019,60.94
4/23/2019,60.25
4/24/2019,57.82
4/25/2019,56.34
4/26/2019,57.24
4/29/2019,60.59
4/30/2019,59.8
5/1/2019,58.75
5/2/2019,61.5
5/3/2019,62.51
5/6/2019,60.57
5/7/2019,59.34
5/8/2019,52.91
5/9/2019,55.18
5/10/2019,51.09
5/13/2019,48.15
5/14/2019,50.52
5/15/2019,54.04
5/16/2019,55.6
5/17/2019,53.79
5/20/2019,54.63
5/21/2019,55.51
5/22/2019,57.88
5/23/2019,58.11
5/24/2019,57.1
5/28/2019,56.89
5/29/2019,56.26
5/30/2019,54.83
5/31/2019,57.62
6/3/2019,59.54
6/4/2019,59.17
6/5/2019,63.01
6/6/2019,61.63
6/7/2019,59.26
6/10/2019,56.76
6/11/2019,58.07
6/12/2019,58.41
6/13/2019,61.21
6/14/2019,60.96
6/17/2019,63.6
6/18/2019,64.4
6/19/2019,63.55
6/20/2019,62.84
6/21/2019,64.26
6/24/2019,63.76
6/25/2019,64.04
6/26/2019,62.97
6/27/2019,65.27
6/28/2019,65.71
7/1/2019,62
7/2/2019,60.35
7/3/2019,60.6
7/5/2019,59.39
7/8/2019,59.79
7/9/2019,61.83
7/10/2019,62.3
7/11/2019,61.85
7/12/2019,64.25
7/15/2019,64.79
7/16/2019,64.8
7/17/2019,65.17
7/18/2019,66
7/19/2019,67.45
7/22/2019,66
7/23/2019,64.93
7/24/2019,65.23
7/25/2019,65.01
7/26/2019,65.52
7/29/2019,64.03
7/30/2019,62.46
7/31/2019,60.87
8/1/2019,59.77
8/2/2019,58.61
8/5/2019,59.51
8/6/2019,58.7
8/7/2019,60.29
8/8/2019,62.1
8/9/2019,59.12
8/12/2019,56.18
8/13/2019,58.08
8/14/2019,54.49
8/15/2019,52.8
8/16/2019,52.47
8/19/2019,51.68
8/20/2019,53.65
8/21/2019,54.15
8/22/2019,51.36
8/23/2019,49.11
8/26/2019,51.21
8/27/2019,49.61
8/28/2019,48.84
8/29/2019,49.73
8/30/2019,48.97
9/3/2019,45.42
9/4/2019,46.35
9/5/2019,46.4
9/6/2019,44.5
9/9/2019,44.38
9/10/2019,45.45
9/11/2019,46.53
9/12/2019,46.99
9/13/2019,46.1
9/16/2019,47.79
9/17/2019,48.06
9/18/2019,46.62
9/19/2019,47.28
9/20/2019,46.43
9/23/2019,45.31
9/24/2019,41.88
9/25/2019,41.78
9/26/2019,41.9
9/27/2019,41.35
9/30/2019,40.84
10/1/2019,39.57
10/2/2019,38.39
10/3/2019,39.52
10/4/2019,39.16
10/7/2019,39.24
10/8/2019,38.66
10/9/2019,38.2
10/10/2019,37.7
10/11/2019,39.49
10/14/2019,39.8
10/15/2019,41.08
10/16/2019,40.51
10/17/2019,41.67
10/18/2019,40.79
10/21/2019,40.88
10/22/2019,43.56
10/23/2019,43.08
10/24/2019,43.72
10/25/2019,44.54
10/28/2019,44.42
10/29/2019,43.68
10/30/2019,44.11
10/31/2019,41.44
11/1/2019,42.98
11/4/2019,42.83
11/5/2019,41.37
11/6/2019,42.92
11/7/2019,43.29
11/8/2019,43.23
11/11/2019,42.97
11/12/2019,42.33
11/13/2019,43.3
11/14/2019,41.92
11/15/2019,43.04
11/18/2019,44.86
11/19/2019,44.15
11/20/2019,43.95
11/21/2019,46.76
11/22/2019,46.46
11/25/2019,48.94
11/26/2019,49
11/27/2019,49.37
11/29/2019,48.98
